# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-05-25 16:14:02 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01357500 MOHAWK RIVER AT COHOES NY
# -----------------------------------------------------------------------------------
#
# Data provided for site 01357500
#            TS   parameter     statistic     Description
#        105054       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	105054_00060_00003	105054_00060_00003_cd
5s	15s	20d	14n	10s
USGS	01357500	1917-12-01	5320	A
USGS	01357500	1917-12-02	5480	A
USGS	01357500	1917-12-03	5560	A
USGS	01357500	1917-12-04	5960	A
USGS	01357500	1917-12-05	4790	A
USGS	01357500	1917-12-06	5720	A
USGS	01357500	1917-12-07	3930	A
USGS	01357500	1917-12-08	3590	A
USGS	01357500	1917-12-09	2530	A
USGS	01357500	1917-12-10	1550	A
USGS	01357500	1917-12-11	1470	A
USGS	01357500	1917-12-12	2160	A
USGS	01357500	1917-12-13	2320	A
USGS	01357500	1917-12-14	2270	A
USGS	01357500	1917-12-15	1850	A
USGS	01357500	1917-12-16	1750	A
USGS	01357500	1917-12-17	1900	A
USGS	01357500	1917-12-18	2160	A
USGS	01357500	1917-12-19	2380	A
USGS	01357500	1917-12-20	2380	A
USGS	01357500	1917-12-21	2380	A
USGS	01357500	1917-12-22	2160	A
USGS	01357500	1917-12-23	2420	A
USGS	01357500	1917-12-24	2420	A
USGS	01357500	1917-12-25	2420	A
USGS	01357500	1917-12-26	2420	A
USGS	01357500	1917-12-27	2420	A
USGS	01357500	1917-12-28	2430	A
USGS	01357500	1917-12-29	2430	A
USGS	01357500	1917-12-30	2330	A
USGS	01357500	1917-12-31	2330	A
USGS	01357500	1918-01-01	2290	A
USGS	01357500	1918-01-02	2290	A
USGS	01357500	1918-01-03	2290	A
USGS	01357500	1918-01-04	2290	A
USGS	01357500	1918-01-05	2090	A
USGS	01357500	1918-01-06	2030	A
USGS	01357500	1918-01-07	1980	A
USGS	01357500	1918-01-08	1830	A
USGS	01357500	1918-01-09	1690	A
USGS	01357500	1918-01-10	1590	A
USGS	01357500	1918-01-11	1540	A
USGS	01357500	1918-01-12	1730	A
USGS	01357500	1918-01-13	1490	A
USGS	01357500	1918-01-14	1490	A
USGS	01357500	1918-01-15	1690	A
USGS	01357500	1918-01-16	1590	A
USGS	01357500	1918-01-17	1980	A
USGS	01357500	1918-01-18	1880	A
USGS	01357500	1918-01-19	1590	A
USGS	01357500	1918-01-20	1640	A
USGS	01357500	1918-01-21	1980	A
USGS	01357500	1918-01-22	1640	A
USGS	01357500	1918-01-23	1640	A
USGS	01357500	1918-01-24	1540	A
USGS	01357500	1918-01-25	1730	A
USGS	01357500	1918-01-26	1690	A
USGS	01357500	1918-01-27	1730	A
USGS	01357500	1918-01-28	1930	A
USGS	01357500	1918-01-29	1980	A
USGS	01357500	1918-01-30	1640	A
USGS	01357500	1918-01-31	1640	A
USGS	01357500	1918-02-01	1590	A
USGS	01357500	1918-02-02	1540	A
USGS	01357500	1918-02-03	1540	A
USGS	01357500	1918-02-04	1400	A
USGS	01357500	1918-02-05	1450	A
USGS	01357500	1918-02-06	1880	A
USGS	01357500	1918-02-07	1780	A
USGS	01357500	1918-02-08	1590	A
USGS	01357500	1918-02-09	1490	A
USGS	01357500	1918-02-10	1450	A
USGS	01357500	1918-02-11	1400	A
USGS	01357500	1918-02-12	1320	A
USGS	01357500	1918-02-13	1360	A
USGS	01357500	1918-02-14	1930	A
USGS	01357500	1918-02-15	4470	A
USGS	01357500	1918-02-16	5460	A
USGS	01357500	1918-02-17	5380	A
USGS	01357500	1918-02-18	4920	A
USGS	01357500	1918-02-19	4260	A
USGS	01357500	1918-02-20	11900	A
USGS	01357500	1918-02-21	31600	A
USGS	01357500	1918-02-22	15700	A
USGS	01357500	1918-02-23	11300	A
USGS	01357500	1918-02-24	8860	A
USGS	01357500	1918-02-25	8400	A
USGS	01357500	1918-02-26	10000	A
USGS	01357500	1918-02-27	20700	A
USGS	01357500	1918-02-28	17000	A
USGS	01357500	1918-03-01	15300	A
USGS	01357500	1918-03-02	14800	A
USGS	01357500	1918-03-03	12600	A
USGS	01357500	1918-03-04	12200	A
USGS	01357500	1918-03-05	10000	A
USGS	01357500	1918-03-06	8860	A
USGS	01357500	1918-03-07	10900	A
USGS	01357500	1918-03-08	11000	A
USGS	01357500	1918-03-09	8950	A
USGS	01357500	1918-03-10	7410	A
USGS	01357500	1918-03-11	6360	A
USGS	01357500	1918-03-12	6270	A
USGS	01357500	1918-03-13	8060	A
USGS	01357500	1918-03-14	16500	A
USGS	01357500	1918-03-15	14300	A
USGS	01357500	1918-03-16	9530	A
USGS	01357500	1918-03-17	7320	A
USGS	01357500	1918-03-18	16500	A
USGS	01357500	1918-03-19	22000	A
USGS	01357500	1918-03-20	24000	A
USGS	01357500	1918-03-21	29000	A
USGS	01357500	1918-03-22	32000	A
USGS	01357500	1918-03-23	41700	A
USGS	01357500	1918-03-24	36800	A
USGS	01357500	1918-03-25	26800	A
USGS	01357500	1918-03-26	21300	A
USGS	01357500	1918-03-27	15900	A
USGS	01357500	1918-03-28	11900	A
USGS	01357500	1918-03-29	11100	A
USGS	01357500	1918-03-30	13700	A
USGS	01357500	1918-03-31	15900	A
USGS	01357500	1918-04-01	17000	A
USGS	01357500	1918-04-02	19400	A
USGS	01357500	1918-04-03	20600	A
USGS	01357500	1918-04-04	18200	A
USGS	01357500	1918-04-05	14200	A
USGS	01357500	1918-04-06	11800	A
USGS	01357500	1918-04-07	11000	A
USGS	01357500	1918-04-08	10800	A
USGS	01357500	1918-04-09	15400	A
USGS	01357500	1918-04-10	22600	A
USGS	01357500	1918-04-11	18200	A
USGS	01357500	1918-04-12	15200	A
USGS	01357500	1918-04-13	12800	A
USGS	01357500	1918-04-14	12400	A
USGS	01357500	1918-04-15	16400	A
USGS	01357500	1918-04-16	15200	A
USGS	01357500	1918-04-17	14200	A
USGS	01357500	1918-04-18	15800	A
