# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-03-07 13:07:06 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01578310 SUSQUEHANNA RIVER AT CONOWINGO, MD
# -----------------------------------------------------------------------------------
#
# Data provided for site 01578310
#            TS   parameter     statistic     Description
#         68118       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	68118_00060_00003	68118_00060_00003_cd
5s	15s	20d	14n	10s
USGS	01578310	1967-10-01	12100	A
USGS	01578310	1967-10-02	41900	A
USGS	01578310	1967-10-03	21200	A
USGS	01578310	1967-10-04	21200	A
USGS	01578310	1967-10-05	22900	A
USGS	01578310	1967-10-06	20300	A
USGS	01578310	1967-10-07	9290	A
USGS	01578310	1967-10-08	2310	A
USGS	01578310	1967-10-09	14300	A
USGS	01578310	1967-10-10	13500	A
USGS	01578310	1967-10-11	13700	A
USGS	01578310	1967-10-12	10900	A
USGS	01578310	1967-10-13	14500	A
USGS	01578310	1967-10-14	9590	A
USGS	01578310	1967-10-15	480	A
USGS	01578310	1967-10-16	10600	A
USGS	01578310	1967-10-17	10600	A
USGS	01578310	1967-10-18	10500	A
USGS	01578310	1967-10-19	21700	A
USGS	01578310	1967-10-20	31600	A
USGS	01578310	1967-10-21	26400	A
USGS	01578310	1967-10-22	23900	A
USGS	01578310	1967-10-23	40200	A
USGS	01578310	1967-10-24	36300	A
USGS	01578310	1967-10-25	29000	A
USGS	01578310	1967-10-26	40800	A
USGS	01578310	1967-10-27	51900	A
USGS	01578310	1967-10-28	69700	A
USGS	01578310	1967-10-29	73700	A
USGS	01578310	1967-10-30	59100	A
USGS	01578310	1967-10-31	50100	A
USGS	01578310	1967-11-01	38800	A
USGS	01578310	1967-11-02	43800	A
USGS	01578310	1967-11-03	48000	A
USGS	01578310	1967-11-04	58900	A
USGS	01578310	1967-11-05	83400	A
USGS	01578310	1967-11-06	86500	A
USGS	01578310	1967-11-07	79300	A
USGS	01578310	1967-11-08	70600	A
USGS	01578310	1967-11-09	60900	A
USGS	01578310	1967-11-10	47800	A
USGS	01578310	1967-11-11	33200	A
USGS	01578310	1967-11-12	26900	A
USGS	01578310	1967-11-13	41600	A
USGS	01578310	1967-11-14	30400	A
USGS	01578310	1967-11-15	39000	A
USGS	01578310	1967-11-16	27400	A
USGS	01578310	1967-11-17	34900	A
USGS	01578310	1967-11-18	20300	A
USGS	01578310	1967-11-19	16600	A
USGS	01578310	1967-11-20	30700	A
USGS	01578310	1967-11-21	33500	A
USGS	01578310	1967-11-22	35600	A
USGS	01578310	1967-11-23	24100	A
USGS	01578310	1967-11-24	36900	A
USGS	01578310	1967-11-25	33400	A
USGS	01578310	1967-11-26	41600	A
USGS	01578310	1967-11-27	55800	A
USGS	01578310	1967-11-28	60200	A
USGS	01578310	1967-11-29	53000	A
USGS	01578310	1967-11-30	41800	A
USGS	01578310	1967-12-01	46600	A
USGS	01578310	1967-12-02	39700	A
USGS	01578310	1967-12-03	28100	A
USGS	01578310	1967-12-04	50200	A
USGS	01578310	1967-12-05	52100	A
USGS	01578310	1967-12-06	54600	A
USGS	01578310	1967-12-07	57600	A
USGS	01578310	1967-12-08	56200	A
USGS	01578310	1967-12-09	49700	A
USGS	01578310	1967-12-10	34400	A
USGS	01578310	1967-12-11	53500	A
USGS	01578310	1967-12-12	61900	A
USGS	01578310	1967-12-13	70300	A
USGS	01578310	1967-12-14	73800	A
USGS	01578310	1967-12-15	76000	A
USGS	01578310	1967-12-16	75500	A
USGS	01578310	1967-12-17	65500	A
USGS	01578310	1967-12-18	63100	A
USGS	01578310	1967-12-19	64700	A
USGS	01578310	1967-12-20	59600	A
USGS	01578310	1967-12-21	55300	A
USGS	01578310	1967-12-22	43700	A
USGS	01578310	1967-12-23	43000	A
USGS	01578310	1967-12-24	40200	A
USGS	01578310	1967-12-25	33400	A
USGS	01578310	1967-12-26	43100	A
USGS	01578310	1967-12-27	33800	A
USGS	01578310	1967-12-28	38200	A
USGS	01578310	1967-12-29	34300	A
USGS	01578310	1967-12-30	27100	A
USGS	01578310	1967-12-31	20000	A
USGS	01578310	1968-01-01	12100	A
USGS	01578310	1968-01-02	23600	A
USGS	01578310	1968-01-03	27000	A
USGS	01578310	1968-01-04	21700	A
USGS	01578310	1968-01-05	15600	A
USGS	01578310	1968-01-06	8710	A
USGS	01578310	1968-01-07	511	A
USGS	01578310	1968-01-08	21800	A
USGS	01578310	1968-01-09	22500	A
USGS	01578310	1968-01-10	18600	A
USGS	01578310	1968-01-11	15100	A
USGS	01578310	1968-01-12	12000	A
USGS	01578310	1968-01-13	2580	A
USGS	01578310	1968-01-14	1440	A
USGS	01578310	1968-01-15	32200	A
USGS	01578310	1968-01-16	25600	A
USGS	01578310	1968-01-17	28300	A
USGS	01578310	1968-01-18	34100	A
USGS	01578310	1968-01-19	30600	A
USGS	01578310	1968-01-20	17600	A
USGS	01578310	1968-01-21	6810	A
USGS	01578310	1968-01-22	30200	A
USGS	01578310	1968-01-23	33200	A
USGS	01578310	1968-01-24	32000	A
USGS	01578310	1968-01-25	30400	A
USGS	01578310	1968-01-26	30100	A
USGS	01578310	1968-01-27	12700	A
USGS	01578310	1968-01-28	9220	A
USGS	01578310	1968-01-29	32200	A
USGS	01578310	1968-01-30	27100	A
USGS	01578310	1968-01-31	41300	A
USGS	01578310	1968-02-01	54400	A
USGS	01578310	1968-02-02	78400	A
USGS	01578310	1968-02-03	89000	A
USGS	01578310	1968-02-04	100000	A
USGS	01578310	1968-02-05	119000	A
USGS	01578310	1968-02-06	93800	A
USGS	01578310	1968-02-07	81600	A
USGS	01578310	1968-02-08	74800	A
USGS	01578310	1968-02-09	59900	A
USGS	01578310	1968-02-10	52100	A
USGS	01578310	1968-02-11	25600	A
USGS	01578310	1968-02-12	35900	A
USGS	01578310	1968-02-13	30500	A
USGS	01578310	1968-02-14	27300	A
USGS	01578310	1968-02-15	18700	A
USGS	01578310	1968-02-16	17800	A
USGS	01578310	1968-02-17	18100	A
USGS	01578310	1968-02-18	12200	A
USGS	01578310	1968-02-19	27900	A
USGS	01578310	1968-02-20	19600	A
USGS	01578310	1968-02-21	22100	A
USGS	01578310	1968-02-22	17600	A
USGS	01578310	1968-02-23	19900	A
USGS	01578310	1968-02-24	7090	A
USGS	01578310	1968-02-25	758	A
USGS	01578310	1968-02-26	21600	A
USGS	01578310	1968-02-27	27700	A
USGS	01578310	1968-02-28	20700	A
USGS	01578310	1968-02-29	23800	A
USGS	01578310	1968-03-01	30000	A
USGS	01578310	1968-03-02	3720	A
USGS	01578310	1968-03-03	529	A
USGS	01578310	1968-03-04	19600	A
USGS	01578310	1968-03-05	16700	A
USGS	01578310	1968-03-06	18300	A
USGS	01578310	1968-03-07	18800	A
USGS	01578310	1968-03-08	20700	A
USGS	01578310	1968-03-09	1970	A
USGS	01578310	1968-03-10	338	A
USGS	01578310	1968-03-11	21800	A
USGS	01578310	1968-03-12	26500	A
USGS	01578310	1968-03-13	33100	A
USGS	01578310	1968-03-14	31100	A
USGS	01578310	1968-03-15	30100	A
USGS	01578310	1968-03-16	6980	A
USGS	01578310	1968-03-17	13500	A
USGS	01578310	1968-03-18	56700	A
USGS	01578310	1968-03-19	66500	A
USGS	01578310	1968-03-20	85500	A
USGS	01578310	1968-03-21	93200	A
USGS	01578310	1968-03-22	90500	A
USGS	01578310	1968-03-23	99100	A
USGS	01578310	1968-03-24	143000	A
USGS	01578310	1968-03-25	203000	A
USGS	01578310	1968-03-26	170000	A
USGS	01578310	1968-03-27	125000	A
USGS	01578310	1968-03-28	102000	A
USGS	01578310	1968-03-29	82400	A
USGS	01578310	1968-03-30	72600	A
USGS	01578310	1968-03-31	74500	A
USGS	01578310	1968-04-01	67600	A
USGS	01578310	1968-04-02	66500	A
USGS	01578310	1968-04-03	59600	A
USGS	01578310	1968-04-04	65200	A
USGS	01578310	1968-04-05	65200	A
USGS	01578310	1968-04-06	57800	A
USGS	01578310	1968-04-07	43200	A
USGS	01578310	1968-04-08	53200	A
USGS	01578310	1968-04-09	40500	A
USGS	01578310	1968-04-10	43700	A
USGS	01578310	1968-04-11	51900	A
USGS	01578310	1968-04-12	40200	A
USGS	01578310	1968-04-13	36100	A
USGS	01578310	1968-04-14	31600	A
USGS	01578310	1968-04-15	38600	A
USGS	01578310	1968-04-16	33500	A
USGS	01578310	1968-04-17	28100	A
USGS	01578310	1968-04-18	27700	A
USGS	01578310	1968-04-19	32200	A
USGS	01578310	1968-04-20	10400	A
USGS	01578310	1968-04-21	9570	A
USGS	01578310	1968-04-22	25000	A
USGS	01578310	1968-04-23	24800	A
USGS	01578310	1968-04-24	26300	A
USGS	01578310	1968-04-25	26700	A
USGS	01578310	1968-04-26	26200	A
USGS	01578310	1968-04-27	19700	A
USGS	01578310	1968-04-28	10200	A
USGS	01578310	1968-04-29	31600	A
USGS	01578310	1968-04-30	30400	A
USGS	01578310	1968-05-01	26600	A
USGS	01578310	1968-05-02	28800	A
USGS	01578310	1968-05-03	25800	A
USGS	01578310	1968-05-04	12300	A
USGS	01578310	1968-05-05	5220	A
USGS	01578310	1968-05-06	32400	A
USGS	01578310	1968-05-07	22900	A
USGS	01578310	1968-05-08	22100	A
USGS	01578310	1968-05-09	23700	A
USGS	01578310	1968-05-10	26600	A
USGS	01578310	1968-05-11	15900	A
USGS	01578310	1968-05-12	10500	A
USGS	01578310	1968-05-13	37400	A
USGS	01578310	1968-05-14	52600	A
USGS	01578310	1968-05-15	57100	A
USGS	01578310	1968-05-16	65900	A
USGS	01578310	1968-05-17	66100	A
USGS	01578310	1968-05-18	41400	A
USGS	01578310	1968-05-19	46000	A
USGS	01578310	1968-05-20	49800	A
USGS	01578310	1968-05-21	53500	A
USGS	01578310	1968-05-22	63400	A
USGS	01578310	1968-05-23	64100	A
USGS	01578310	1968-05-24	74500	A
USGS	01578310	1968-05-25	61000	A
USGS	01578310	1968-05-26	53500	A
USGS	01578310	1968-05-27	60300	A
USGS	01578310	1968-05-28	64800	A
USGS	01578310	1968-05-29	102000	A
USGS	01578310	1968-05-30	113000	A
USGS	01578310	1968-05-31	137000	A
USGS	01578310	1968-06-01	129000	A
USGS	01578310	1968-06-02	135000	A
USGS	01578310	1968-06-03	121000	A
USGS	01578310	1968-06-04	90300	A
USGS	01578310	1968-06-05	85400	A
USGS	01578310	1968-06-06	78600	A
USGS	01578310	1968-06-07	65600	A
USGS	01578310	1968-06-08	50900	A
USGS	01578310	1968-06-09	42400	A
USGS	01578310	1968-06-10	46600	A
USGS	01578310	1968-06-11	35100	A
USGS	01578310	1968-06-12	41700	A
USGS	01578310	1968-06-13	48200	A
USGS	01578310	1968-06-14	52100	A
USGS	01578310	1968-06-15	60200	A
USGS	01578310	1968-06-16	53500	A
USGS	01578310	1968-06-17	60000	A
USGS	01578310	1968-06-18	55400	A
USGS	01578310	1968-06-19	49200	A
USGS	01578310	1968-06-20	36800	A
USGS	01578310	1968-06-21	32400	A
USGS	01578310	1968-06-22	33000	A
USGS	01578310	1968-06-23	27900	A
USGS	01578310	1968-06-24	37800	A
USGS	01578310	1968-06-25	32400	A
USGS	01578310	1968-06-26	27200	A
USGS	01578310	1968-06-27	23600	A
USGS	01578310	1968-06-28	32000	A
USGS	01578310	1968-06-29	39200	A
USGS	01578310	1968-06-30	62300	A
USGS	01578310	1968-07-01	64400	A
USGS	01578310	1968-07-02	65800	A
USGS	01578310	1968-07-03	39300	A
USGS	01578310	1968-07-04	32900	A
USGS	01578310	1968-07-05	34900	A
USGS	01578310	1968-07-06	28400	A
USGS	01578310	1968-07-07	23100	A
USGS	01578310	1968-07-08	31500	A
USGS	01578310	1968-07-09	24400	A
USGS	01578310	1968-07-10	20100	A
USGS	01578310	1968-07-11	21200	A
USGS	01578310	1968-07-12	18400	A
USGS	01578310	1968-07-13	9460	A
USGS	01578310	1968-07-14	2520	A
USGS	01578310	1968-07-15	27800	A
USGS	01578310	1968-07-16	16400	A
USGS	01578310	1968-07-17	16300	A
USGS	01578310	1968-07-18	15000	A
USGS	01578310	1968-07-19	9900	A
USGS	01578310	1968-07-20	2610	A
USGS	01578310	1968-07-21	1400	A
USGS	01578310	1968-07-22	20400	A
USGS	01578310	1968-07-23	17500	A
USGS	01578310	1968-07-24	8010	A
USGS	01578310	1968-07-25	8750	A
USGS	01578310	1968-07-26	10400	A
USGS	01578310	1968-07-27	1670	A
USGS	01578310	1968-07-28	688	A
USGS	01578310	1968-07-29	14800	A
USGS	01578310	1968-07-30	7330	A
USGS	01578310	1968-07-31	13800	A
USGS	01578310	1968-08-01	13600	A
USGS	01578310	1968-08-02	14100	A
USGS	01578310	1968-08-03	2360	A
USGS	01578310	1968-08-04	882	A
USGS	01578310	1968-08-05	9150	A
USGS	01578310	1968-08-06	9080	A
USGS	01578310	1968-08-07	12400	A
USGS	01578310	1968-08-08	11000	A
USGS	01578310	1968-08-09	10600	A
USGS	01578310	1968-08-10	695	A
USGS	01578310	1968-08-11	427	A
USGS	01578310	1968-08-12	6120	A
USGS	01578310	1968-08-13	7640	A
USGS	01578310	1968-08-14	11500	A
USGS	01578310	1968-08-15	8940	A
USGS	01578310	1968-08-16	9570	A
USGS	01578310	1968-08-17	633	A
USGS	01578310	1968-08-18	403	A
USGS	01578310	1968-08-19	4420	A
USGS	01578310	1968-08-20	11200	A
USGS	01578310	1968-08-21	10200	A
USGS	01578310	1968-08-22	10800	A
USGS	01578310	1968-08-23	7840	A
USGS	01578310	1968-08-24	641	A
USGS	01578310	1968-08-25	423	A
USGS	01578310	1968-08-26	1960	A
USGS	01578310	1968-08-27	1820	A
USGS	01578310	1968-08-28	3140	A
USGS	01578310	1968-08-29	5280	A
USGS	01578310	1968-08-30	7740	A
USGS	01578310	1968-08-31	367	A
USGS	01578310	1968-09-01	363	A
USGS	01578310	1968-09-02	2700	A
USGS	01578310	1968-09-03	15700	A
USGS	01578310	1968-09-04	7170	A
USGS	01578310	1968-09-05	6490	A
USGS	01578310	1968-09-06	10200	A
USGS	01578310	1968-09-07	1830	A
USGS	01578310	1968-09-08	1830	A
USGS	01578310	1968-09-09	19200	A
USGS	01578310	1968-09-10	17200	A
USGS	01578310	1968-09-11	52600	A
USGS	01578310	1968-09-12	35000	A
USGS	01578310	1968-09-13	32100	A
USGS	01578310	1968-09-14	24100	A
USGS	01578310	1968-09-15	32400	A
USGS	01578310	1968-09-16	34400	A
USGS	01578310	1968-09-17	23700	A
USGS	01578310	1968-09-18	21300	A
USGS	01578310	1968-09-19	19300	A
USGS	01578310	1968-09-20	16900	A
USGS	01578310	1968-09-21	3850	A
USGS	01578310	1968-09-22	540	A
USGS	01578310	1968-09-23	10500	A
USGS	01578310	1968-09-24	11900	A
USGS	01578310	1968-09-25	9750	A
USGS	01578310	1968-09-26	9500	A
USGS	01578310	1968-09-27	11100	A
USGS	01578310	1968-09-28	494	A
USGS	01578310	1968-09-29	472	A
USGS	01578310	1968-09-30	5660	A
USGS	01578310	1968-10-01	5570	A
USGS	01578310	1968-10-02	4470	A
USGS	01578310	1968-10-03	7600	A
USGS	01578310	1968-10-04	8180	A
USGS	01578310	1968-10-05	552	A
USGS	01578310	1968-10-06	485	A
USGS	01578310	1968-10-07	15600	A
USGS	01578310	1968-10-08	9670	A
USGS	01578310	1968-10-09	8320	A
USGS	01578310	1968-10-10	8400	A
USGS	01578310	1968-10-11	8260	A
USGS	01578310	1968-10-12	629	A
USGS	01578310	1968-10-13	503	A
USGS	01578310	1968-10-14	4650	A
USGS	01578310	1968-10-15	15700	A
USGS	01578310	1968-10-16	8490	A
USGS	01578310	1968-10-17	6780	A
USGS	01578310	1968-10-18	6400	A
USGS	01578310	1968-10-19	425	A
USGS	01578310	1968-10-20	318	A
USGS	01578310	1968-10-21	8420	A
USGS	01578310	1968-10-22	11400	A
USGS	01578310	1968-10-23	11500	A
USGS	01578310	1968-10-24	12400	A
USGS	01578310	1968-10-25	16300	A
USGS	01578310	1968-10-26	1530	A
USGS	01578310	1968-10-27	295	A
USGS	01578310	1968-10-28	10000	A
USGS	01578310	1968-10-29	14500	A
USGS	01578310	1968-10-30	15600	A
USGS	01578310	1968-10-31	14400	A
USGS	01578310	1968-11-01	18300	A
USGS	01578310	1968-11-02	4370	A
USGS	01578310	1968-11-03	303	A
USGS	01578310	1968-11-04	12400	A
USGS	01578310	1968-11-05	12600	A
USGS	01578310	1968-11-06	13800	A
USGS	01578310	1968-11-07	12900	A
USGS	01578310	1968-11-08	23400	A
USGS	01578310	1968-11-09	14500	A
USGS	01578310	1968-11-10	18700	A
USGS	01578310	1968-11-11	40400	A
USGS	01578310	1968-11-12	48000	A
USGS	01578310	1968-11-13	43700	A
USGS	01578310	1968-11-14	36600	A
USGS	01578310	1968-11-15	41400	A
USGS	01578310	1968-11-16	23000	A
USGS	01578310	1968-11-17	29600	A
USGS	01578310	1968-11-18	61400	A
USGS	01578310	1968-11-19	83700	A
USGS	01578310	1968-11-20	122000	A
USGS	01578310	1968-11-21	132000	A
USGS	01578310	1968-11-22	105000	A
USGS	01578310	1968-11-23	79100	A
USGS	01578310	1968-11-24	71100	A
USGS	01578310	1968-11-25	61600	A
USGS	01578310	1968-11-26	60000	A
USGS	01578310	1968-11-27	51700	A
USGS	01578310	1968-11-28	29700	A
USGS	01578310	1968-11-29	49000	A
USGS	01578310	1968-11-30	40700	A
USGS	01578310	1968-12-01	28100	A
USGS	01578310	1968-12-02	46900	A
USGS	01578310	1968-12-03	47400	A
USGS	01578310	1968-12-04	49900	A
USGS	01578310	1968-12-05	56000	A
USGS	01578310	1968-12-06	67200	A
USGS	01578310	1968-12-07	74200	A
USGS	01578310	1968-12-08	73600	A
USGS	01578310	1968-12-09	59800	A
USGS	01578310	1968-12-10	65900	A
USGS	01578310	1968-12-11	44900	A
USGS	01578310	1968-12-12	35100	A
USGS	01578310	1968-12-13	38600	A
USGS	01578310	1968-12-14	27900	A
USGS	01578310	1968-12-15	22000	A
USGS	01578310	1968-12-16	30100	A
USGS	01578310	1968-12-17	30300	A
