# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-03-07 13:11:13 EST       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01646500 POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01646500
#            TS   parameter     statistic     Description
#         68478       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	68478_00060_00003	68478_00060_00003_cd
5s	15s	20d	14n	10s
USGS	01646500	1930-03-01	9500	A
USGS	01646500	1930-03-02	9200	A
USGS	01646500	1930-03-03	8500	A
USGS	01646500	1930-03-04	8000	A
USGS	01646500	1930-03-05	7500	A
USGS	01646500	1930-03-06	7000	A
USGS	01646500	1930-03-07	7500	A
USGS	01646500	1930-03-08	28000	A
USGS	01646500	1930-03-09	34500	A
USGS	01646500	1930-03-10	29000	A
USGS	01646500	1930-03-11	24000	A
USGS	01646500	1930-03-12	21000	A
USGS	01646500	1930-03-13	18500	A
USGS	01646500	1930-03-14	16500	A
USGS	01646500	1930-03-15	15000	A
USGS	01646500	1930-03-16	13500	A
USGS	01646500	1930-03-17	12500	A
USGS	01646500	1930-03-18	11500	A
USGS	01646500	1930-03-19	12000	A
USGS	01646500	1930-03-20	11500	A
USGS	01646500	1930-03-21	12000	A
USGS	01646500	1930-03-22	11700	A
USGS	01646500	1930-03-23	10200	A
USGS	01646500	1930-03-24	9350	A
USGS	01646500	1930-03-25	8550	A
USGS	01646500	1930-03-26	8900	A
USGS	01646500	1930-03-27	9080	A
USGS	01646500	1930-03-28	8850	A
USGS	01646500	1930-03-29	8050	A
USGS	01646500	1930-03-30	7560	A
USGS	01646500	1930-03-31	6860	A
USGS	01646500	1930-04-01	6220	A
USGS	01646500	1930-04-02	6430	A
USGS	01646500	1930-04-03	6430	A
USGS	01646500	1930-04-04	6220	A
USGS	01646500	1930-04-05	6020	A
USGS	01646500	1930-04-06	7090	A
USGS	01646500	1930-04-07	17800	A
USGS	01646500	1930-04-08	17000	A
USGS	01646500	1930-04-09	15000	A
USGS	01646500	1930-04-10	15800	A
USGS	01646500	1930-04-11	15800	A
USGS	01646500	1930-04-12	15800	A
USGS	01646500	1930-04-13	10800	A
USGS	01646500	1930-04-14	10200	A
USGS	01646500	1930-04-15	8300	A
USGS	01646500	1930-04-16	8300	A
USGS	01646500	1930-04-17	8300	A
USGS	01646500	1930-04-18	8300	A
USGS	01646500	1930-04-19	8300	A
USGS	01646500	1930-04-20	7800	A
USGS	01646500	1930-04-21	7090	A
USGS	01646500	1930-04-22	7040	A
USGS	01646500	1930-04-23	7090	A
USGS	01646500	1930-04-24	7320	A
USGS	01646500	1930-04-25	8050	A
USGS	01646500	1930-04-26	7560	A
USGS	01646500	1930-04-27	7090	A
USGS	01646500	1930-04-28	6860	A
USGS	01646500	1930-04-29	6220	A
USGS	01646500	1930-04-30	5820	A
USGS	01646500	1930-05-01	5820	A
USGS	01646500	1930-05-02	5620	A
USGS	01646500	1930-05-03	5230	A
USGS	01646500	1930-05-04	5820	A
USGS	01646500	1930-05-05	5230	A
USGS	01646500	1930-05-06	5230	A
USGS	01646500	1930-05-07	4860	A
USGS	01646500	1930-05-08	4340	A
USGS	01646500	1930-05-09	4510	A
USGS	01646500	1930-05-10	4340	A
USGS	01646500	1930-05-11	4180	A
USGS	01646500	1930-05-12	4020	A
USGS	01646500	1930-05-13	3800	A
USGS	01646500	1930-05-14	3710	A
USGS	01646500	1930-05-15	3860	A
USGS	01646500	1930-05-16	4020	A
USGS	01646500	1930-05-17	3740	A
USGS	01646500	1930-05-18	3600	A
USGS	01646500	1930-05-19	3560	A
