# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-03-07 13:14:15 EST       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 02037500 JAMES RIVER NEAR RICHMOND, VA
# -----------------------------------------------------------------------------------
#
# Data provided for site 02037500
#            TS   parameter     statistic     Description
#        145310       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	145310_00060_00003	145310_00060_00003_cd
5s	15s	20d	14n	10s
USGS	02037500	1934-10-01	5000	A
USGS	02037500	1934-10-02	3300	A
USGS	02037500	1934-10-03	3300	A
USGS	02037500	1934-10-04	3700	A
USGS	02037500	1934-10-05	3400	A
USGS	02037500	1934-10-06	3500	A
USGS	02037500	1934-10-07	6000	A
USGS	02037500	1934-10-08	12000	A
USGS	02037500	1934-10-09	13500	A
USGS	02037500	1934-10-10	8960	A
USGS	02037500	1934-10-11	6290	A
USGS	02037500	1934-10-12	4320	A
USGS	02037500	1934-10-13	3800	A
USGS	02037500	1934-10-14	3250	A
USGS	02037500	1934-10-15	2700	A
USGS	02037500	1934-10-16	2210	A
USGS	02037500	1934-10-17	2140	A
USGS	02037500	1934-10-18	1760	A
USGS	02037500	1934-10-19	1740	A
USGS	02037500	1934-10-20	1700	A
USGS	02037500	1934-10-21	1640	A
USGS	02037500	1934-10-22	1600	A
USGS	02037500	1934-10-23	1580	A
USGS	02037500	1934-10-24	1250	A
USGS	02037500	1934-10-25	1420	A
USGS	02037500	1934-10-26	1400	A
USGS	02037500	1934-10-27	1370	A
USGS	02037500	1934-10-28	1340	A
USGS	02037500	1934-10-29	1070	A
USGS	02037500	1934-10-30	1230	A
USGS	02037500	1934-10-31	1080	A
USGS	02037500	1934-11-01	1220	A
USGS	02037500	1934-11-02	1120	A
USGS	02037500	1934-11-03	1180	A
USGS	02037500	1934-11-04	1300	A
USGS	02037500	1934-11-05	1230	A
USGS	02037500	1934-11-06	2780	A
USGS	02037500	1934-11-07	2880	A
USGS	02037500	1934-11-08	2420	A
USGS	02037500	1934-11-09	2500	A
USGS	02037500	1934-11-10	2040	A
USGS	02037500	1934-11-11	2200	A
USGS	02037500	1934-11-12	2210	A
USGS	02037500	1934-11-13	1960	A
USGS	02037500	1934-11-14	1570	A
USGS	02037500	1934-11-15	1830	A
USGS	02037500	1934-11-16	1620	A
USGS	02037500	1934-11-17	1520	A
USGS	02037500	1934-11-18	1370	A
USGS	02037500	1934-11-19	1310	A
USGS	02037500	1934-11-20	1480	A
USGS	02037500	1934-11-21	1240	A
USGS	02037500	1934-11-22	1450	A
USGS	02037500	1934-11-23	1620	A
USGS	02037500	1934-11-24	2000	A
USGS	02037500	1934-11-25	4170	A
USGS	02037500	1934-11-26	5170	A
USGS	02037500	1934-11-27	6940	A
USGS	02037500	1934-11-28	5960	A
USGS	02037500	1934-11-29	4780	A
USGS	02037500	1934-11-30	29900	A
USGS	02037500	1934-12-01	62500	A
USGS	02037500	1934-12-02	83000	A
USGS	02037500	1934-12-03	102000	A
USGS	02037500	1934-12-04	56800	A
USGS	02037500	1934-12-05	22800	A
USGS	02037500	1934-12-06	15800	A
USGS	02037500	1934-12-07	12300	A
USGS	02037500	1934-12-08	10300	A
USGS	02037500	1934-12-09	9520	A
USGS	02037500	1934-12-10	8030	A
USGS	02037500	1934-12-11	6600	A
USGS	02037500	1934-12-12	6290	A
USGS	02037500	1934-12-13	5560	A
USGS	02037500	1934-12-14	5040	A
USGS	02037500	1934-12-15	4800	A
USGS	02037500	1934-12-16	4420	A
USGS	02037500	1934-12-17	4100	A
USGS	02037500	1934-12-18	3910	A
USGS	02037500	1934-12-19	4280	A
USGS	02037500	1934-12-20	6840	A
USGS	02037500	1934-12-21	8760	A
USGS	02037500	1934-12-22	7470	A
USGS	02037500	1934-12-23	7540	A
USGS	02037500	1934-12-24	6870	A
USGS	02037500	1934-12-25	5940	A
USGS	02037500	1934-12-26	5240	A
USGS	02037500	1934-12-27	5080	A
USGS	02037500	1934-12-28	5320	A
USGS	02037500	1934-12-29	4660	A
USGS	02037500	1934-12-30	7240	A
USGS	02037500	1934-12-31	6500	A
USGS	02037500	1935-01-01	5980	A
USGS	02037500	1935-01-02	7520	A
USGS	02037500	1935-01-03	6950	A
USGS	02037500	1935-01-04	6280	A
USGS	02037500	1935-01-05	5760	A
USGS	02037500	1935-01-06	5810	A
USGS	02037500	1935-01-07	4980	A
USGS	02037500	1935-01-08	4440	A
USGS	02037500	1935-01-09	5490	A
USGS	02037500	1935-01-10	8180	A
USGS	02037500	1935-01-11	12200	A
USGS	02037500	1935-01-12	17000	A
USGS	02037500	1935-01-13	12700	A
USGS	02037500	1935-01-14	10000	A
USGS	02037500	1935-01-15	8560	A
USGS	02037500	1935-01-16	7390	A
USGS	02037500	1935-01-17	7020	A
USGS	02037500	1935-01-18	6600	A
USGS	02037500	1935-01-19	6700	A
USGS	02037500	1935-01-20	8080	A
USGS	02037500	1935-01-21	11300	A
USGS	02037500	1935-01-22	13900	A
USGS	02037500	1935-01-23	34700	A
USGS	02037500	1935-01-24	71200	A
USGS	02037500	1935-01-25	97900	A
USGS	02037500	1935-01-26	63800	A
